"STATION","NAME","DATE","AWND","PRCP","SNOW","TMAX","TMIN","WSFG"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-30",,"0.00","0.0","71","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-01-31",,"0.00","0.0","68","49",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-01",,"0.00","0.0","67","40",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-02",,"0.00","0.0","72","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-03",,"0.00","0.0","70","45",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-04",,"0.00","0.0","73","42",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-05",,"0.00","0.0","74","55",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-06",,"0.00","0.0","58","45",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-07",,"0.00","0.0","62","44",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-08",,"0.00","0.0","68","44",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-09",,"0.01","0.0","61","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-10",,"0.36","0.0","70","40",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-11",,"0.25","0.0","49","37",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-12",,"0.00","0.0","55","35",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-13",,"0.00","0.0","53","33",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-14",,"0.01","0.0","55","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-15",,"0.00","0.0","68","34",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-16",,"0.00","0.0","57","38",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-17",,"0.00","0.0","60","33",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-18",,"0.01","0.0","53","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-19",,"0.35","0.0","72","46",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-20",,"0.03","0.0","56","33",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-21",,"0.00","0.0","43","26",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-22",,"0.00","0.0","52","27",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-23",,"0.05","0.0","49","35",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-24",,"0.27","0.0","45","36",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-25",,"0.00","0.0","58","42",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-26",,"0.00","0.0","68","39",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-27",,"0.00","0.0","81","47",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-02-28",,"0.00","0.0","71","46",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-01",,"0.09","0.0","79","56",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-02",,"0.09","0.0","70","51",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-03",,"0.00","0.0","79","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-04",,"0.00","0.0","56","35",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-05",,"0.00","0.0","68","37",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-06",,"0.00","0.0","71","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-07",,"0.00","0.0","77","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-08",,"0.07","0.0","61","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-09",,"1.59","0.0","52","45",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-10",,"0.01","0.0","55","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-11",,"0.08","0.0","71","54",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-12",,"0.00","0.0","78","56",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-13",,"0.00","0.0","75","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-14",,"0.00","0.0","82","54",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-15",,"0.00","0.0","65","46",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-16",,"0.03","0.0","65","50",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-17",,"0.03","0.0","73","59",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-18",,"0.00","0.0","73","55",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-19",,"0.00","0.0","78","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-20",,"0.00","0.0","81","62",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-21",,"0.01","0.0","81","59",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-22",,"0.16","0.0","75","54",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-23",,"0.00","0.0","79","46",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-24",,"0.00","0.0","74","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-25",,"0.00","0.0","68","42",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-26",,"0.00","0.0","77","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-27",,"0.00","0.0","74","56",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-28",,"0.00","0.0","76","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-29",,"0.00","0.0","78","59",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-30",,"0.36","0.0","72","65",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-03-31",,"0.00","0.0","80","60",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-01",,"0.00","0.0","71","50",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-02",,"0.00","0.0","82","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-03",,"0.00","0.0","64","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-04",,"0.00","0.0","72","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-05",,"0.43","0.0","69","58",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-06",,"0.01","0.0","58","51",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-07",,"0.00","0.0","78","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-08",,"0.00","0.0","87","61",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-09",,"0.00","0.0","86","60",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-10",,"0.00","0.0","69","50",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-11",,"0.00","0.0","86","50",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-12",,"0.00","0.0","57","43",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-13",,"0.00","0.0","71","36",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-14",,"0.00","0.0","70","50",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-15",,"0.00","0.0","69","46",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-16",,"0.00","0.0","73","41",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-17",,"0.00","0.0","80","58",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-18",,"0.00","0.0","73","38",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-19",,"0.00","0.0","64","36",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-20",,"0.00","0.0","65","40",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-21",,"0.00","0.0","82","48",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-22",,"0.00","0.0","86","60",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-23",,"2.31","0.0","74","62",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-24",,"0.05","0.0","83","60",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-25",,"0.00","0.0","77","52",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-26",,"0.00","0.0","74","47",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-27",,"0.00","0.0","82","53",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-28",,"2.86","0.0","71","58",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-29",,"0.01","0.0","77","57",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-04-30",,"0.00","0.0","83","61",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-01",,"0.00","0.0","86","64","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-02",,"0.00","0.0","82","56","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-03",,"0.03","0.0","74","55","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-04",,"0.13","0.0","68","51","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-05",,"0.00","0.0","73","47","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-06",,"0.00","0.0","78","48","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-07",,"0.00","0.0","86","51","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-08",,"0.00","0.0","91","56","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-09",,"0.00","0.0","90","70","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-10",,"0.49","0.0","82","66","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-11",,"0.00","0.0","79","63","36.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-12",,"0.52","0.0","70","54","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-13",,"0.60","0.0","54","50","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-14",,"0.06","0.0","59","49","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-15",,"1.43","0.0","65","58","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-16",,"0.29","0.0","73","59","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-17",,"0.00","0.0","82","58","12.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-18",,"0.00","0.0","80","63","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-19",,"0.00","0.0","83","57","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-20",,"0.00","0.0","88","65","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-21",,"0.00","0.0","92","75","34.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-22",,"0.00","0.0","94","73","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-23",,"0.00","0.0","92","74","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-24",,"0.00","0.0","91","76","36.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-25",,"0.00","0.0","93","74","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-26",,"0.00","0.0","95","72","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-27",,"0.00","0.0","93","71","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-28",,"0.00","0.0","93","69","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-29",,"0.00","0.0","95","72","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-30",,"0.00","0.0","94","71","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-05-31",,"0.00","0.0","96","73","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-01",,"0.00","0.0","95","70","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-02",,"0.00","0.0","98","69",
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-03",,"0.00","0.0","97","71","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-04",,"0.00","0.0","95","71","38.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-05",,"0.00","0.0","93","73","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-06",,"0.01","0.0","95","71","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-07",,"0.00","0.0","95","75","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-08",,"0.00","0.0","99","76","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-09",,"0.00","0.0","99","78","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-10",,"0.00","0.0","98","78","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-11",,"0.00","0.0","99","76","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-12",,"0.00","0.0","103","77","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-13",,"0.00","0.0","101","73","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-14",,"0.00","0.0","104","78","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-15",,"0.00","0.0","102","79","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-16",,"0.00","0.0","99","78","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-17",,"0.00","0.0","99","79","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-18",,"0.00","0.0","103","77","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-19",,"0.00","0.0","102","78","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-20",,"0.00","0.0","104","79","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-21",,"0.00","0.0","105","80","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-22",,"0.00","0.0","103","79","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-23",,"0.00","0.0","102","80","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-24",,"0.00","0.0","101","81","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-25",,"0.00","0.0","99","80","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-26",,"0.00","0.0","99","81","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-27",,"0.00","0.0","99","79","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-28",,"0.00","0.0","96","77","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-29",,"0.54","0.0","80","75","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-06-30",,"0.00","0.0","92","77","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-01",,"0.00","0.0","97","75","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-02",,"0.00","0.0","100","78","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-03",,"0.00","0.0","99","79","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-04",,"0.00","0.0","100","79","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-05",,"0.00","0.0","100","79","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-06",,"0.00","0.0","102","80","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-07",,"0.00","0.0","102","79","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-08",,"0.00","0.0","103","81","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-09",,"0.00","0.0","103","81","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-10",,"0.25","0.0","89","77","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-11",,"0.00","0.0","94","72","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-12",,"0.00","0.0","83","66","30.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-13",,"0.01","0.0","78","66","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-14",,"0.00","0.0","88","65","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-15",,"0.00","0.0","86","71","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-16",,"0.19","0.0","88","72","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-17",,"0.06","0.0","86","71","16.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-18",,"0.30","0.0","90","75","36.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-19",,"0.00","0.0","88","75","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-20",,"0.11","0.0","90","77","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-21",,"0.00","0.0","101","80","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-22",,"0.00","0.0","99","77","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-23",,"0.00","0.0","99","78","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-24",,"0.00","0.0","98","76","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-25",,"0.00","0.0","96","76","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-26",,"0.00","0.0","94","75","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-27",,"0.00","0.0","97","74","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-28",,"0.00","0.0","97","77","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-29",,"0.00","0.0","96","72","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-30",,"0.05","0.0","95","77","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-07-31",,"0.00","0.0","99","78","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-01",,"0.00","0.0","98","74","25.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-02",,"0.00","0.0","98","75","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-03",,"0.00","0.0","99","76","29.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-04",,"0.00","0.0","100","78","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-05",,"0.14","0.0","96","79","32.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-06",,"0.00","0.0","100","76","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-07",,"0.00","0.0","106","75","21.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-08",,"0.00","0.0","106","80","23.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-09",,"0.00","0.0","89","70","34.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-10",,"0.00","0.0","103","74","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-11",,"0.00","0.0","106","81","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-12",,"0.34","0.0","91","72","46.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-13",,"0.00","0.0","97","74","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-14",,"0.00","0.0","99","76","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-15",,"0.00","0.0","98","78","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-16",,"0.00","0.0","99","77","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-17",,"0.22","0.0","89","75","25.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-18",,"0.00","0.0","84","74","31.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-19",,"0.03","0.0","81","73","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-20",,"0.00","0.0","88","70","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-21",,"0.00","0.0","90","65","17.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-22",,"0.00","0.0","92","65","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-23",,"0.00","0.0","92","71","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-24",,"0.00","0.0","91","71","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-25",,"0.00","0.0","92","72","34.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-26",,"0.00","0.0","91","69","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-27",,"0.13","0.0","93","71","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-28",,"0.00","0.0","94","72","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-29",,"0.00","0.0","91","74","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-30",,"0.18","0.0","85","71","28.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-08-31",,"0.05","0.0","89","73","36.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-01",,"0.00","0.0","94","72","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-02",,"0.13","0.0","94","70","44.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-03",,"1.54","0.0","88","68","33.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-04",,"0.00","0.0","81","62","21.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-05",,"0.00","0.0","85","59","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-06",,"0.00","0.0","88","59","11.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-07",,"0.00","0.0","94","63","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-08",,"0.00","0.0","95","66","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-09",,"0.00","0.0","94","69","14.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-10",,"0.00","0.0","94","66","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-11",,"0.00","0.0","93","66","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-12",,"0.00","0.0","96","66","19.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-13",,"0.00","0.0","92","61","15.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-14",,"0.00","0.0","102","64","27.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-15",,"0.00","0.0","97","64","23.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-16",,"0.00","0.0","94","63","17.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-17",,"0.00","0.0","94","63","19.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","1953-09-18",,"0.00","0.0","85","71","19.0"
